@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.16740,0.57940,n
0.39892,0.51087,p
0.10921,0.56638,n
0.10927,0.56662,n
0.31007,0.15408,p
0.87953,0.99165,p
0.22507,0.37658,n
0.46279,0.87624,p
0.41940,0.40413,n
0.47928,0.11537,n
0.97847,0.52234,p
0.52429,0.39559,n
0.28737,0.43130,n
0.27621,0.55085,n
0.23883,0.21338,p
0.65286,0.68087,n
0.99129,0.37236,p
0.14385,0.80010,p
0.27968,0.59822,n
0.23501,0.47879,n
0.17320,0.50423,n
0.44428,0.80380,p
0.59599,0.60125,p
0.04184,0.02296,p
0.18636,0.47928,n
0.43106,0.75135,p
0.08637,0.79368,p
0.29280,0.35370,n
0.14231,0.57665,n
0.11882,0.71196,p
0.04596,0.29249,n
0.75233,0.39096,p
0.77954,0.95782,p
0.41511,0.98020,p
0.66069,0.36421,p
0.66725,0.97180,p
0.37729,0.81139,p
0.26286,0.39159,n
0.55276,0.22604,p
0.65119,0.93260,p
0.42669,0.04969,p
0.17117,0.62412,p
0.53380,0.47965,n
0.87874,0.90477,p
0.47746,0.32966,n
0.81147,0.36410,p
0.06389,0.48668,n
0.02384,0.12732,p
0.25652,0.09623,p
0.32320,0.48671,n
0.12395,0.56030,n
0.18251,0.46400,n
0.37325,0.12216,p
0.31887,0.54261,n
0.44767,0.67953,n
0.75763,0.00811,p
0.16702,0.35392,n
0.29169,0.65518,p
0.21822,0.58984,p
0.27055,0.59990,n
0.19034,0.63388,n
0.87604,0.45151,p
0.43745,0.27516,p
0.53412,0.96817,p
0.13585,0.53677,n
0.37346,0.39024,n
0.93703,0.49393,p
0.10394,0.56509,n
0.42815,0.79337,p
0.22430,0.50373,n
0.43465,0.69380,n
0.75042,0.43104,p
0.37126,0.38951,n
0.72130,0.04691,p
0.32911,0.44935,n
0.83664,0.48180,p
0.04047,0.47949,p
0.37331,0.37160,p
0.41612,0.95220,p
0.55998,0.78092,p
0.49588,0.27948,p
0.20185,0.48585,n
0.34568,0.50249,n
0.12082,0.54600,n
0.05531,0.37523,p
0.28629,0.58518,n
0.74579,0.14545,n
0.72070,0.42437,p
0.53831,0.89999,p
0.31086,0.59067,n
0.18103,0.57678,n
0.00790,0.40545,p
0.37448,0.44166,n
0.20438,0.55739,n
0.11510,0.02853,p
0.28991,0.60901,n
0.32278,0.53465,n
0.10990,0.57616,n
0.23787,0.50548,n
0.24368,0.54001,n
0.78172,0.62546,p
0.24325,0.48737,p
0.55123,0.58126,p
0.14887,0.50158,n
0.56108,0.50605,n
0.61902,0.01087,p
0.29381,0.39284,p
0.43619,0.41144,p
0.89615,0.70377,p
0.47821,0.11223,p
0.52890,0.46862,n
0.40031,0.20622,n
0.13048,0.38409,n
0.29936,0.61921,n
0.39340,0.28401,p
0.21374,0.44566,n
0.12893,0.56185,n
0.10711,0.51402,n
0.15080,0.25523,p
0.98309,0.09817,p
0.19766,0.58783,n
0.08985,0.43262,n
0.24784,0.89837,p
0.38290,0.91062,p
0.25966,0.57210,p
0.45372,0.11053,p
0.54497,0.82486,p
0.15435,0.43279,n
0.12156,0.37699,n
0.98611,0.78708,p
0.06968,0.26519,p
0.16248,0.62539,n
0.09791,0.40379,n
0.91214,0.61782,p
0.07525,0.44911,n
0.20130,0.58221,n
0.10297,0.53132,n
0.36681,0.90361,n
0.99254,0.69017,p
0.09931,0.71401,p
0.00367,0.69923,p
0.03913,0.17090,p
0.87455,0.79818,n
0.47410,0.59255,p
0.60160,0.86761,p
0.55560,0.49719,n
0.11860,0.44558,n
0.81786,0.90191,p
0.01946,0.82485,p
0.87391,0.42944,p
0.89187,0.81073,p
0.63493,0.52853,p
0.30848,0.46644,n
0.23843,0.53104,n
0.80454,0.78283,p
0.05012,0.71190,p
0.13917,0.58997,n
0.26025,0.13978,p
0.84955,0.53299,n
0.26695,0.44367,n
0.51043,0.03818,p
0.50502,0.58126,p
0.48585,0.93327,p
0.39391,0.32174,n
0.46916,0.48346,p
0.23678,0.43936,n
0.12524,0.83285,p
0.54665,0.24976,p
0.98909,0.28661,p
0.40325,0.35656,n
0.92497,0.93449,n
0.71481,0.54142,p
0.95260,0.12177,n
0.36437,0.05768,p
0.83520,0.98803,p
0.15949,0.64008,n
0.76343,0.84733,p
0.23227,0.35800,n
0.33606,0.50845,n
0.19717,0.58480,n
0.14070,0.46478,n
0.81050,0.98077,p
0.87650,0.58374,p
0.45322,0.63791,p
0.08336,0.56741,n
0.17540,0.42611,n
0.46533,0.65104,p
0.42275,0.57271,n
0.29114,0.39459,n
0.24713,0.36196,n
0.21836,0.08383,p
0.54457,0.46682,n
0.20551,0.40640,n
0.87340,0.17352,p
0.54971,0.18695,p
0.33259,0.39450,n
0.88218,0.21399,n
0.27578,0.16535,p
0.24844,0.37703,n
0.00910,0.41760,p
0.42434,0.50750,n
0.82908,0.62002,n
0.37934,0.60094,n
0.99174,0.96947,p
