@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.15234,0.48995,n
0.35371,0.51641,p
0.21728,0.47033,n
0.66483,0.16882,p
0.38531,0.66034,n
0.12826,0.42804,n
0.25191,0.45485,n
0.40317,0.33537,n
0.61222,0.51373,n
0.20264,0.56345,p
0.76794,0.86983,p
0.23581,0.57506,n
0.55788,0.42158,n
0.29345,0.54333,n
0.23117,0.49849,n
0.06056,0.51111,n
0.30227,0.24863,p
0.15839,0.27168,p
0.15882,0.41481,n
0.27022,0.52483,n
0.16782,0.48397,n
0.77268,0.70644,p
0.12984,0.49278,n
0.77995,0.82445,p
0.47469,0.51421,p
0.34493,0.39856,n
0.07167,0.59615,p
0.58222,0.90358,n
0.21411,0.59984,n
0.88687,0.51392,p
0.30942,0.54984,n
0.18567,0.37826,n
0.22887,0.63886,n
0.37064,0.85891,p
0.45260,0.44488,n
0.87902,0.75222,p
0.32074,0.44142,n
0.18814,0.37314,n
0.32522,0.50460,n
0.04526,0.12314,n
0.73770,0.83095,p
0.15893,0.50090,n
0.05721,0.60538,p
0.77340,0.15818,n
0.27245,0.38155,n
0.11550,0.05948,p
0.22622,0.57706,n
0.69337,0.17184,p
0.37204,0.09666,p
0.14498,0.60204,n
0.41888,0.75343,p
0.88022,0.37359,p
0.60858,0.01931,p
0.75215,0.31251,p
0.21269,0.50950,p
0.17379,0.39329,p
0.19517,0.47569,n
0.07423,0.55342,n
0.12446,0.55425,n
0.45464,0.66598,n
0.27741,0.37672,n
0.93139,0.88105,p
0.54501,0.38148,n
0.05606,0.44702,p
0.27949,0.46920,n
0.37538,0.63330,n
0.57216,0.24378,p
0.31831,0.49809,p
0.80735,0.23536,p
0.46546,0.96225,p
0.53200,0.61712,n
0.11648,0.59044,n
0.26296,0.47692,n
0.28394,0.99792,p
0.09146,0.45254,n
0.15570,0.62188,n
0.46419,0.38702,n
0.28059,0.15668,n
0.12847,0.60861,p
0.25674,0.36581,n
0.15467,0.54132,n
0.29079,0.03831,n
0.09273,0.58548,n
0.13434,0.43791,p
0.55620,0.40092,p
0.10987,0.71441,p
0.33038,0.43148,n
0.85950,0.83234,p
0.91413,0.35020,p
0.89525,0.35011,p
0.24071,0.48281,n
0.31977,0.42707,n
0.25203,0.50724,n
0.21577,0.42811,n
0.14411,0.58351,n
0.28200,0.84045,p
0.84870,0.66905,p
0.86900,0.32238,p
0.26111,0.49395,n
0.13928,0.54358,n
0.20867,0.62420,n
0.14296,0.51287,n
0.30567,0.22640,n
0.18640,0.59324,n
0.29417,0.38478,n
0.29953,0.57486,n
0.47402,0.65447,n
0.34689,0.50541,n
0.46593,0.97359,p
0.28199,0.41774,p
0.24608,0.56733,n
0.26263,0.39697,n
0.13659,0.93422,p
0.45682,0.37869,n
0.08380,0.62062,p
0.27554,0.38544,n
0.23034,0.42486,n
0.40934,0.47303,n
