@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.91917,0.59051,p
0.43719,0.86206,n
0.18629,0.59189,p
0.16054,0.51161,n
0.33642,0.52439,n
0.07166,0.46813,n
0.85424,0.03764,p
0.48521,0.26404,p
0.35316,0.09228,p
0.28846,0.49264,n
0.89934,0.90120,p
0.15330,0.61507,n
0.30569,0.00807,p
0.78693,0.16382,n
0.57635,0.91298,p
0.17934,0.64205,n
0.06925,0.17958,p
0.53238,0.53069,n
0.99489,0.80106,p
0.10920,0.40756,n
0.85286,0.09860,p
0.67614,0.66624,p
0.18142,0.44409,n
0.98494,0.74660,p
0.25086,0.52031,p
0.31413,0.16382,p
0.50258,0.33306,n
0.28460,0.61191,n
0.48583,0.49464,n
0.49242,0.48458,p
0.80470,0.33388,p
0.53248,0.99277,p
0.17925,0.96709,p
0.46562,0.38348,n
0.52324,0.91537,p
0.24951,0.61889,n
0.93981,0.55251,p
0.02121,0.17992,p
0.98960,0.21676,p
0.08551,0.40920,n
0.18100,0.35023,p
0.17063,0.49943,n
0.15769,0.39170,n
0.03266,0.41216,p
0.88047,0.02689,p
0.27206,0.62822,n
0.32797,0.73344,p
0.24269,0.37593,n
0.25060,0.89978,p
0.33611,0.47053,n
0.75800,0.94484,p
0.75461,0.26649,n
0.71717,0.62264,n
0.06962,0.50512,n
0.55368,0.56947,p
0.16813,0.89413,p
0.27039,0.45920,n
0.23117,0.42490,n
0.06736,0.56701,n
0.19751,0.39383,p
0.48151,0.49678,p
0.10109,0.41631,n
0.29968,0.53429,n
0.16281,0.55866,n
0.18342,0.37421,p
0.36154,0.94149,p
0.59907,0.20573,p
0.24244,0.45675,n
0.39264,0.58324,n
0.08455,0.49650,n
0.92311,0.05689,p
0.34438,0.56221,n
0.56465,0.04261,n
0.85448,0.36313,p
0.70920,0.77490,p
0.22871,0.44413,p
0.70248,0.17701,p
0.02413,0.90176,n
0.14456,0.53859,n
0.20868,0.39632,n
0.89106,0.39477,p
0.30866,0.51693,n
0.45160,0.61452,p
0.45218,0.68683,p
0.08170,0.51801,n
0.34068,0.46946,n
0.07280,0.49982,n
0.27754,0.39275,n
0.74588,0.95811,p
0.19568,0.48577,n
0.82321,0.66989,p
0.19880,0.82278,p
0.43054,0.30721,n
0.29488,0.53185,n
0.15474,0.82788,p
0.13198,0.53320,n
0.63232,0.68207,p
0.46899,0.22802,p
0.30360,0.14013,p
0.53747,0.35738,n
0.10160,0.43531,p
0.21650,0.38227,n
0.00322,0.95102,p
0.12504,0.62880,n
0.28743,0.42972,n
0.17716,0.59979,n
0.25035,0.63911,n
0.66352,0.07513,p
0.19144,0.47178,p
0.18138,0.57459,n
0.28974,0.45850,n
0.27170,0.56069,n
0.13377,0.62106,p
0.28989,0.54462,n
0.54889,0.45589,n
0.48503,0.51386,n
0.08516,0.56379,p
0.26483,0.48234,n
0.19726,0.52320,n
0.98285,0.10005,n
0.00085,0.02657,p
0.36746,0.66884,p
0.78505,0.17181,p
0.84818,0.17982,p
0.46733,0.55980,n
0.34278,0.52711,n
0.07637,0.50984,n
0.16127,0.54344,n
0.07757,0.49113,n
